0,Aq,Org
546.26715,0.028682119,0.011841019
546.6030781,0.029357642,0.011335122
546.9391073,0.030584236,0.013137559
547.2752367,0.030353161,0.012166321
547.6114655,0.03000405,0.012135508
547.9477927,0.030001284,0.013065488
548.2842175,0.029175863,0.012158728
548.620739,0.031649078,0.014054889
548.9573562,0.030849697,0.013084922
549.2940684,0.030328942,0.01438903
549.6308746,0.031859362,0.014098664
549.9677739,0.031967513,0.015865079
550.3047655,0.032552254,0.015595556
550.6418485,0.03307469,0.015697263
550.9790219,0.033091311,0.015231725
551.3162849,0.034010028,0.015732871
551.6536366,0.032879565,0.01389071
551.9910761,0.033797085,0.014533213
552.3286025,0.034091711,0.014092581
552.666215,0.033472735,0.013830552
553.0039126,0.034150408,0.014255956
553.3416944,0.03446789,0.015019487
553.6795596,0.033673068,0.014401589
554.0175073,0.034439966,0.014399629
554.3555366,0.034623278,0.014734948
554.6936466,0.033399336,0.014105034
555.0318363,0.034241885,0.014534378
555.370105,0.034118125,0.014592713
555.7084517,0.035078011,0.0160117
556.0468756,0.034899456,0.015820647
556.3853756,0.03518628,0.015823018
556.7239511,0.035095212,0.015808228
557.062601,0.034740331,0.016346885
557.4013244,0.035369512,0.016329199
557.7401205,0.035093144,0.016074886
558.0789884,0.034831411,0.015444671
558.4179272,0.03550552,0.016871555
558.756936,0.036196045,0.016419953
559.0960139,0.035147672,0.016061102
559.43516,0.034154191,0.015875688
559.7743735,0.036089231,0.018655252
560.1136533,0.035622646,0.017658538
560.4529987,0.036985807,0.018060188
560.7924087,0.037636392,0.019719481
561.1318825,0.036718634,0.019150951
561.4714191,0.037523691,0.02039454
561.8110177,0.037139463,0.020848149
562.1506773,0.038308671,0.021180427
562.4903971,0.038460536,0.021501288
562.8301762,0.038271451,0.022685064
563.1700136,0.039714219,0.023945346
563.5099085,0.039987729,0.025690224
563.8498601,0.040133213,0.026736549
564.1898673,0.041035866,0.028095321
564.5299293,0.042151378,0.030532976
564.8700452,0.043478032,0.033220625
565.2102141,0.044399018,0.035675178
565.5504352,0.046322218,0.04126223
565.8907074,0.047206715,0.044646551
566.23103,0.04895393,0.049436729
566.571402,0.049762014,0.054266843
566.9118225,0.052337335,0.061954739
567.2522907,0.054533018,0.07106114
567.5928055,0.059444675,0.083091774
567.9333663,0.062008369,0.096035657
568.2739719,0.066044803,0.114856861
568.6146216,0.068519075,0.137905882
568.9553145,0.075788696,0.169838335
569.2960496,0.082443212,0.207659403
569.636826,0.089852654,0.252235837
569.9776429,0.099901276,0.300804461
570.3184994,0.109707631,0.349122445
570.6593945,0.123681941,0.393666331
571.0003274,0.13689816,0.423579526
571.3412971,0.15243939,0.43890411
571.6823029,0.167031217,0.434937886
572.0233436,0.1795772,0.415916827
572.3644186,0.193144438,0.390988008
572.7055268,0.204815266,0.363306271
573.0466674,0.214706769,0.339612836
573.3878395,0.223744471,0.318656713
573.7290422,0.231102321,0.303676859
574.0702745,0.238195169,0.293390983
574.4115356,0.24338039,0.28874647
574.7528246,0.247618736,0.287371884
575.0941406,0.25101978,0.290317316
575.4354827,0.253450582,0.292468793
575.7768499,0.25202126,0.291895638
576.1182414,0.250677519,0.286510417
576.4596564,0.247763027,0.277819414
576.8010938,0.245292419,0.266887149
577.1425528,0.242000639,0.252227988
577.4840325,0.237671385,0.235752301
577.825532,0.234273923,0.217455623
578.1670503,0.2312491,0.203007276
578.5085867,0.227986382,0.191276524
578.8501402,0.22448829,0.184287029
579.1917098,0.220174912,0.180915268
579.5332948,0.21579151,0.180703184
579.8748941,0.209396664,0.180988026
580.216507,0.202385112,0.187526681
580.5581324,0.195817396,0.194249733
580.8997695,0.189800369,0.20151368
581.2414175,0.182805057,0.214022985
581.5830753,0.176083267,0.227858668
581.9247421,0.170823975,0.244380768
582.2664171,0.165813978,0.262678705
582.6080992,0.158990941,0.281046684
582.9497876,0.152575629,0.298250951
583.2914814,0.148399472,0.315375141
583.6331797,0.142214877,0.32989928
583.9748817,0.137318903,0.339179839
584.3165863,0.131913725,0.343545955
584.6582927,0.12618631,0.339249489
585,0.122123411,0.329880877
585.3417073,0.117086983,0.316551541
585.6834137,0.112468451,0.297919519
586.0251183,0.107924197,0.278768175
586.3668203,0.103558725,0.26032904
586.7085186,0.100941536,0.241462708
587.0502124,0.097021052,0.226392457
587.3919008,0.093564746,0.21409415
587.7335829,0.091067396,0.204171005
588.0752579,0.088530457,0.19767623
588.4169247,0.085322496,0.190941581
588.7585825,0.081399726,0.186910217
589.1002305,0.079780753,0.186791854
589.4418676,0.076053098,0.189466527
589.783493,0.073818488,0.19281108
590.1251059,0.07198501,0.199484456
590.4667052,0.067543832,0.206581002
590.8082902,0.066259521,0.213814756
591.1498598,0.06334997,0.219517778
591.4914133,0.062914121,0.223007618
591.8329497,0.058805218,0.218887817
592.174468,0.056448687,0.212824616
592.5159675,0.055978601,0.202290057
592.8574472,0.053028443,0.187949069
593.1989062,0.05100387,0.172334332
593.5403436,0.050097796,0.157818236
593.8817586,0.048583499,0.146957885
594.2231501,0.046809035,0.135413313
594.5645173,0.044486638,0.127171147
594.9058594,0.044981769,0.120012272
595.2471754,0.044124206,0.115080986
595.5884644,0.042804905,0.111554873
595.9297255,0.041642037,0.106352211
596.2709578,0.042142444,0.104906867
596.6121605,0.039922274,0.103366394
596.9533326,0.037949262,0.098152275
597.2944732,0.038504841,0.099035512
597.6355814,0.038859402,0.098498918
597.9766564,0.039226046,0.098821044
598.3176971,0.039109781,0.099642154
598.6587029,0.038250502,0.098004502
598.9996726,0.037130975,0.098274344
599.3406055,0.037328194,0.097720236
599.6815006,0.038537839,0.097859766
600.0223571,0.03818388,0.096301092
600.363174,0.037731645,0.09446887
600.7039504,0.037009305,0.089617899
601.0446855,0.037301134,0.087537653
601.3853784,0.038010787,0.083154526
601.7260281,0.037345841,0.078183267
602.0666337,0.038294815,0.075793057
602.4071945,0.037671041,0.070532825
602.7477093,0.037356572,0.069174633
603.0881775,0.039663906,0.06900433
603.428598,0.037608349,0.067166545
603.76897,0.037267202,0.067268139
604.1092926,0.03661023,0.066261117
604.4495648,0.038793389,0.070759172
604.7897859,0.039255166,0.074361402
605.1299548,0.039358034,0.076304085
605.4700707,0.039296147,0.080763489
605.8101327,0.038803537,0.085456049
606.1501399,0.039358565,0.090997874
606.4900915,0.03821176,0.096179845
606.8299864,0.040059045,0.102519126
607.1698238,0.039459114,0.104835514
607.5096029,0.039867451,0.107212602
607.8493227,0.03944348,0.106298657
608.1889823,0.039131453,0.10541593
608.5285809,0.040308575,0.101496966
608.8681175,0.040219515,0.094336618
609.2075913,0.040232827,0.089617004
609.5470013,0.039734683,0.08437921
609.8863467,0.039673753,0.077304262
610.2256265,0.041099351,0.071689715
610.56484,0.039796383,0.065233335
610.9039861,0.042016114,0.062208096
611.243064,0.042109833,0.060019286
611.5820728,0.042881875,0.055099405
611.9210116,0.040661387,0.051890724
612.2598795,0.041479767,0.050746897
612.5986756,0.041720482,0.050452111
612.937399,0.041891958,0.049005719
613.2760489,0.04154697,0.048377947
613.6146244,0.042890199,0.048450274
613.9531244,0.042141446,0.047286134
614.2915483,0.044665389,0.048193078
614.629895,0.043349202,0.048792151
614.9681637,0.043097539,0.048406987
615.3063534,0.043285964,0.04763376
615.6444634,0.041962677,0.04621159
615.9824927,0.043247536,0.046666393
616.3204404,0.043857904,0.04801496
616.6583056,0.044643837,0.049437818
616.9960874,0.044467672,0.048125935
617.333785,0.043521669,0.046786575
617.6713975,0.046232345,0.048818739
618.0089239,0.044589082,0.047820804
618.3463634,0.043745916,0.048327768
618.6837151,0.045586494,0.048640516
619.0209781,0.04735076,0.049673329
